ID,Word,Meaning,Etymology,Derived
861,obstacle,(～に対する)障害(物)(to),ob(向かい合って) + stare(立つ) → 前に立ち塞がるもの,
862,architecture,建築；建築様式；構造,archi(最高の) + tect(大工・技術) → 建築技術・建築物,architect(建築家) / architectural(建築上の)
863,stem,(草木の)茎，幹,stamn(幹)が語源,
864,illusion,錯覚，思い違い；幻想,in(〜に対して) + ludere(遊ぶ・あざ笑う) → 心を惑わす幻影,illusive(錯覚を起こさせる) / illusory(架空の)
865,discrimination,(～に対する)差別(against)；区別,dis(離れて) + crimen(判断) → 分けて見下すこと,discriminate(差別する・識別する)
866,shame,恥；残念なこと,skam(覆い隠す)が語源 → 隠したくなるような恥ずかしさ,shameful(恥ずべき) / shameless(恥知らずな)
867,drought,干ばつ；(慢性的な)不足,dry(乾いた) + th → 水分が途絶えて乾ききること,
868,flavor,風味；特色,flare(吹く・におう)が語源,flavoring(調味料)
869,portion,部分；1人前；割り当て,portio(分配・部分)が語源,
870,recipe,調理法，レシピ；手順；秘訣,recipere(受け取る) → 処方箋・受け取る指示書,
871,luxury,ぜいたく(品)；〔形容詞的に〕豪華な,luxus(過剰・ぜいたく)が語源,luxurious(豪華な)
872,chip,小片，破片；欠けた箇所；集積回路,chippen(削る)が語源,
873,ritual,儀式；(日常の)習慣的行為,ritus(儀式) + al,rite(儀式)
874,sake,〔for the ～ ofで〕のために，の目的で；に免じて,sacu(訴訟・目的)が語源 → 〜の利益・目的,
875,prefecture,(日本の)県，府；(フランスなどの)県,praefectus(長官・知事) → 長官が治める行政区画,prefectural(県の)
876,council,(地方)議会；評議会；(公の)会議,con(共に) + calare(呼び集める) → 集まって話し合う会議,councilor(評議員・議員)
877,administration,管理(部)；行政；政府(機関),ad(〜へ) + minister(仕える・奉仕する) → 組織を管理し動かすこと,administrative(行政の・管理の) / administrator(管理者)
878,curriculum,教育課程，カリキュラム,currere(走る) → 履修して進む周回コース,
879,precious,貴重な；高価な,pretium(価格・価値) + ous → 非常に価値が高い,
880,generous,寛大な；気前のよい；豊富な,genus(生まれ・血統) → 高貴な生まれのように気前が良い,generosity(気前よさ・寛大さ)
881,casual,何気ない；形式ばらない,cadere(落ちる・偶然起こる) → 偶然の・気取らない,casually(何気なく)
882,optimistic,楽観的な,optimus(最良) + istic → すべて最良に向かうと考える,optimism(楽観主義) / optimist(楽観主義者)
883,rough,粗い；大まかな；乱暴な,ruh(ザラザラした)が語源,roughly(おおよそ)
884,unpleasant,不愉快な；不親切な，無礼な,un(不) + pleasant(心地よい),unpleasantly(不快に)
885,Arctic,北極の,arktos(クマ・おおぐま座) → 北極星を指す星座の方角,
886,ultimate,究極の,ultimus(最も遠い・最後の) → これ以上先がない最終の,ultimately(最終的に)
887,deaf,耳が聞こえない,daef(愚かな・聞こえない)が語源,deafness(耳が聞こえないこと)
888,genuine,本物の；偽りのない,gignere(生む) → 血統の正しい・本物の,genuinely(心から・本物として)
889,manual,体［手］を使う；手の；手動式の,manus(手) + al → 手に関する,manually(手動で)
890,mechanical,機械の；機械的な,mechane(機械・仕掛け) + ical,mechanic(整備士) / mechanism(仕組み)
891,instant,即時の，すぐの；即席の,in(中に) + stare(立つ) → 目の前にすぐに存在する,instantly(即座に)
892,spare,余分の，予備の,spar(残しておく)が語源,
893,immune,(～に対して)免疫を持つ(to)；(～を)免れた(from),in(免除) + munis(義務) → 義務や病気から免れた,immunity(免疫) / immunize(免疫を与える)
894,harsh,厳しい；(光・色・味などが)不快な,harske(ざらざらした)が語源,harshly(厳しく)
895,collective,集団の，共同の,com(共に) + legere(集める) → 集められた集団の,collectively(集団で) / collect(集める)
896,inevitable,避けられない,in(不) + ex(外へ) + vitare(避ける) → 避けて通ることができない,inevitably(必然的に)
897,profound,重大な；深い；難解な,pro(前方・深く) + fundus(底) → 底が非常に深い,profoundly(深く)
898,steady,着実な，一定の；安定した,stead(場所・土台) + y → 土台がしっかりブレない,steadily(着実に)
899,mature,成熟した；熟した,maturus(適期の・熟した)が語源,maturity(成熟) / immature(未熟な)
900,likewise,同様に,like(同様の) + wise(方向・やり方),
901,chase,(を)追跡する；(を)追求する,captiare(捕らえようとする)が語源,chaser(追跡者)
902,sue,を告訴する；(～を求めて)訴訟を起こす(for),sequi(従う・追いかける) → 法律で追い詰める,suit(訴訟)
903,gaze,じっと見る,gaza(見つめる)が語源,
904,slip,滑る；滑り落ちる；そっと動く,slippen(滑る)が語源,slippery(滑りやすい)
905,load,に積む；に負わせる,ladan(載せる・運ぶ)が語源,
906,overwhelm,を圧倒する；を(精神的に)打ちのめす,over(上に) + whelm(覆いかぶさる) → 上から包み込むように圧倒する,overwhelming(圧倒的な)
907,wander,歩き回る；それる；はぐれる,wandrian(彷徨う)が語源,wanderer(放浪者)
908,float,漂う，浮かぶ；を浮かべる,flotian(浮かぶ)が語源,
909,pour,を注ぐ；激しく降る；押し寄せる,pourer(注ぐ人・具)が語源,
910,substitute,を代わりに使う；(～の)代理をする(for),sub(下に) + statuere(立てる) → 代わりに置く,substitution(代用・置換)
911,pronounce,を発音する；を宣言する,pro(前に) + nuntiare(報告する) → 人前で口に出して告げる,pronunciation(発音)
912,shrink,縮む，縮小する；減少する；ひるむ,scrincan(縮む)が語源,shrinkage(縮小・減少)
913,restore,を回復させる；を修復する,re(再び) + restaurare(建てる) → 元の良い状態に戻す,restoration(回復・修復)
914,trigger,を引き起こす；のきっかけとなる,trekken(引く) → 引き金を引いて誘発する,
915,grab,をつかむ；を横取りする；を急いで食べる,grabban(ひったくる)が語源,
916,retain,を保持する；を覚えている,re(後ろに) + tenere(保つ) → 手元に留め置く,retention(保持・記憶力)
917,reproduce,を複製する；を繁殖させる；繁殖する,re(再び) + produce(生み出す) → 再び生み出す,reproduction(複製・繁殖) / reproductive(生殖の)
918,bob,上下に動く；急に動く；を上下に動かす,bobben(軽く叩く・上下に揺れる)が語源,
919,entertain,を楽しませる；をもてなす,inter(の間に) + tenere(保つ) → つなぎ止めて楽しませる,entertainment(娯楽) / entertainer(芸人・芸能人)
920,interfere,干渉する，介入する；邪魔する,inter(の間に) + ferire(打つ) → 間に立ち入って邪魔をする,interference(干渉・妨害)
921,cultivate,を養う；を耕す；を栽培する,colere(耕す・育てる) → 土地や能力を耕して育てる,cultivation(栽培・教養)
922,underlie,の根底にある,under(下に) + lie(横たわる) → 下にあって支えとなる,underlying(根本的な)
923,anticipate,を予期する；楽しみに待つ,anti(前に) + capere(取る) → 先回りして予想する,anticipation(予期・期待)
924,justify,を正当化する,justus(正しい) + facere(作る) → 正しいと証明・主張する,justification(正当化)
925,regulate,を規制する；を調整する,regula(規則・定規) + ate → 規則に従わせて整える,regulation(規制・規則) / regulator(規制機関)
926,scan,を走査［スキャン］する；をざっと見る；を注意深く調べる,scandere(登る・詩節を調べる) → 細かく読み調べる,scanner(スキャナー)
927,classify,を分類する；を機密扱いにする,classis(階級) + facere(作る) → 類別に分ける,classification(分類)
928,submit,を提出する；〔＋oneselfで〕(～に)従う(to),sub(下に) + mittere(送る) → 下に差し出す・従う,submission(提出・服従)
929,pause,(一時的に)中止する；(一瞬)立ち止まる,pausa(停止)が語源,
930,lean,傾く；寄りかかる；をもたせかける,hlinian(傾く)が語源,
931,bump,ぶつかる；をぶつける,擬音語(ぶつかる音)が語源,bumpy(でこぼこの)
932,fold,を折り畳む；(両腕)を組む；(折り)畳める,fealdan(折る)が語源,folder(フォルダ)
933,hesitate,躊躇する，ためらう,haerere(まとわりつく・立ち止まる) → 迷って立ち止まる,hesitation(ためらい) / hesitant(躊躇している)
934,pump,(液体・気体)をポンプで送り込む；をくみ出す；を注ぎ込む,擬音語(水を押す音)が語源,
935,mount,を据えつける；に着手する；(自転車など)に乗る；増える,mons(山) → 高い所にのぼる・据え置く,
936,exceed,を超える；に勝る,ex(外へ) + cedere(行く) → 限度を越えて先へ行く,exceedingly(非常に) / excess(過剰)
937,undergo,を経験する；(手術など)を受ける；に耐える,under(下に) + go(行く) → 試練や変化の下を通る,
938,confront,に立ち向かう；(困難などが)に立ちはだかる,con(共に) + frons(額) → 額を突き合わせて直面する,confrontation(対立・直面)
939,consult,(に)相談する；を参照する,con(共に) + salire(集まる・相談する) → 集まって知恵を出し合う,consultant(顧問・コンサルタント) / consultation(相談)
940,fulfill,を実現させる；を果たす；を満たす,full(満ちた) + fill(満たす) → 完全に満たして成就させる,fulfillment(達成・成就)
941,privilege,特権，特典,privus(個人の) + lex(法律) → 特定の個人に与えられた特別な法律・権利,privileged(特権のある)
942,formation,形成；構成(物)；隊列,form(形) + ation → 形作ること,form(形作る)
943,dimension,側面，局面；次元；寸法,dis(離れて) + metiri(測る) → 測定された広がり・次元,dimensional(次元の)
944,neuron,ニューロン，神経単位,neuron(腱・神経)が語源,neuronal(神経の)
945,sensation,感覚；大評判,sentire(感じる) + ion → 感じること・衝撃的な評判,sensational(衝撃的な)
946,chart,図，グラフ；海図；ヒットチャート,charta(紙・地図)が語源,
947,geography,〔the ～〕地理；地理学,geo(地球) + graphy(記録・書くこと) → 地球の姿を記録する学問,geographic(地理的な) / geographer(地理学者)
948,panel,(専門家の)一団；討論者一同；羽目板,pane(板) + el(小さい) → 枠にはめられた板・選ばれた人々の枠組,
949,semester,【主に米】 (2学期制の)学期,sex(6) + mensis(月) → 6ヶ月間の期間(学期),
950,workforce,労働人口，総労働力；全従業員(数),work(労働) + force(力),
951,mill,製造工場；製粉所；粉ひき機,mola(石臼)が語源 → すり潰す機械・工場,
952,abuse,乱用；虐待,ab(外れて) + use(使う) → 正しい使い道から外れて酷使する,abusive(虐待的な)
953,vice,(道徳上の)悪；欠点,vitium(欠陥・悪徳)が語源,vicious(悪意のある・危険な)
954,fate,運命；結末；最期,fari(話す・神のお告げ) → 神によって語られた確定した運命,fatal(致命的な)
955,tragedy,悲劇(的な事態),tragos(山羊) + oide(歌) → 山羊の歌(ギリシャ悲劇に由来),tragic(悲劇的な)
956,scenario,(予想される)筋書き，事態；脚本,scena(場面・舞台) → 場面の展開を描いたもの,
957,allergy,アレルギー,allos(他の) + ergon(作用) → 通常と異なる過敏反応,allergic(アレルギーの)
958,wound,(銃弾・刃物などによる)傷；痛手,wund(傷)が語源,
959,antibiotic,〔通例～s〕抗生物質,anti(対抗する) + bios(生命) → 微生物に対抗する物質,
960,vaccine,ワクチン,vacca(雌牛) → 牛痘(種痘)に由来する予防接種,vaccinate(ワクチンを接種する) / vaccination(予防接種)
961,metaphor,隠喩；比喩,meta(越えて) + pherein(運ぶ) → 意味を別のものへ移し変えて例える,metaphorical(比喩的な)
962,folk,人々；〔～s〕皆さん；〔one’s ～s〕家族,folc(民衆・人々)が語源,folklore(民間伝承)
963,fare,(乗り物の)料金,faran(行く・旅する) → 移動・旅にかかる費用,
964,transition,移り変わり；過渡期,trans(越えて) + ire(行く) + tion → 別の状態へ移っていくこと,transitional(過渡期の)
965,maximum,最大限,magnus(大きい) → 最も大きい限度,maximize(最大化する)
966,galaxy,星雲，銀河；〔the G～〕銀河系,gala(ミルク) → 天の川(Milky Way)に由来,galactic(銀河の)
967,mineral,鉱物；ミネラル,mine(採掘する) + eral → 地中から掘り出される鉱物,
968,skeleton,骨格；骨組み；概略,skeletos(乾燥した) → 乾いた骨・骨組み,skeletal(骨格の)
969,counterpart,相当する物［人］,counter(対向する) + part(部分) → 対になって対応する存在,
970,stroke,脳卒中；(ボールを)打つこと；(雷などの)一撃,strikan(打つ・撫でる)が語源,
971,pedestrian,歩行者,pes(足) + trian → 足で歩く人,
972,trail,(野山などの)小道；跡；手がかり,tragere(引きずる) → 引きずった跡・踏み固められた道,trailer(トレーラー)
973,ecology,生態学；生態系；環境保護,oikos(家・住処) + logy(学問) → 生物の住処の研究,ecological(生態学の) / ecologist(生態学者)
974,sibling,きょうだい(の1人),sib(親族・血縁) + ling(親しいもの) → 血を分けた兄弟姉妹,
975,ratio,比率,reri(計算する・考える) → 計算された割合,
976,mixture,混合(物),miscere(混ぜる) + ture,mix(混ぜる)
977,charm,魅力；お守り,carmen(歌・呪文) → 人を惹きつける呪文のような魅力,charming(魅力的な)
978,ambition,(～に対する)願望，野望(for)；野心,ambi(周りを) + ire(行く) → 得票のために走り回る意欲,ambitious(野心的な)
979,prominent,卓越した；目立つ,pro(前方へ) + minere(突き出る) → 前に飛び出して目立つ,prominently(顕著に) / prominence(卓越)
980,radical,急進的な；根本的な,radix(根) + al → 根っこからの・根本的な,radically(根本的に)
981,prompt,即座の，迅速な,pro(前に) + emere(取る) → すぐに取り出す・手早い,promptly(即座に)
982,informal,形式ばらない，略式の；(言葉が)くだけた,in(不) + formal(公式の),informally(非公式に)
983,mutual,相互の；共通の,mutare(変える・交換する) → お互いにやり取りする,mutually(相互に)
984,neutral,中立の；(特徴・表情などが)はっきりしない,ne(否定) + uter(どちらか一方) → どちらにも偏らない,neutrality(中立) / neutralize(中和する)
985,alert,警戒して；敏速な,all'erta(油断なく見張る)が語源 → 警戒状態にある,
986,magnetic,磁気の；磁石の；人を引きつける,magnes(マグネシア産の石) + ic → 引きつける力のある,magnet(磁石) / magnetism(磁気・魅力)
987,polar,極地の；電極の,polus(軸・極) + ar → 極に関する,pole(極・柱) / polarity(両極性)
988,fluent,流ちょうな,fluere(流れる) + ent → 言葉が滑らかに流れる,fluently(流暢に) / fluency(流暢さ)
989,external,外部の；対外的な,ex(外へ) + ternal → 外側にある,externally(外部的に)
990,passive,受動的な；消極的な,pati(受ける・耐える) + ive → 自分から動かず受け身の,passively(受動的に) / passivity(受動性)
991,awful,ひどい；嫌な；ものすごい,awe(恐れ) + ful → 恐れを抱かせるほど酷い,awfully(非常に・ひどく)
992,unrelated,無関係の；血縁関係がない,un(不) + relate(関連づける) + ed,
993,cruel,残酷な；むごい,crudus(生々しい・痛々しい) → 思いやりのない残酷な,cruelty(残酷さ) / cruelly(残酷に)
994,fake,偽の；見せかけだけの,fegen(掃除する・装う)が語源,
995,vulnerable,(攻撃などに)弱い，もろい；傷つきやすい,vulnus(傷) + able → 傷つきやすい状態にある,vulnerably(脆く) / vulnerability(脆弱性)
996,urgent,緊急の,urgere(押す・追いたてる) → 急き立てられるような,urgency(緊急性) / urgently(緊急に)
997,spiritual,精神の；霊的な,spiritus(息・魂) + al → 魂に関する,spirit(精神) / spiritually(精神的に)
998,modest,謙虚な；適度な；質素な,modus(控えめな尺度) + est → 控えめで突き抜けない,modesty(謙虚さ) / modestly(控えめに)
999,keen,熱心な；鋭敏な；(感情・関心などが)強い,cene(鋭い・勇敢な)が語源,keenly(鋭く・痛切に)
1000,nonetheless,それにもかかわらず，それでもなお,none(決して〜ない) + the + less,
1001,negotiate,交渉する；を(交渉して)取り決める,ne-(否定) + otium(暇) → 暇のないビジネス・取引の議論をする,negotiation(交渉) / negotiator(交渉人)
1002,grasp,を把握［理解］する；をしっかり握る,grope(手探りする)と同語源 → ぎゅっと掴み取る,
1003,donate,を寄付する；(臓器・血液)を提供する,donum(贈り物) + ate → 贈り物として与える,donation(寄付) / donor(寄付者・ドナー)
1004,arrest,を逮捕する；を止める；(注意)を引く,ad(〜へ) + restare(止まる) → 動きを止めて拘束する,
1005,crack,ひびが入る；にひびを入れる,擬音語(パンという高い音)が語源,cracker(クラッカー・せんべい)
1006,tap,を軽くたたく；(液体)を出す；を盗聴する,tappen(軽く叩く)が語源,
1007,split,を分割する；を分担する；分裂する,splitten(裂く)が語源,
1008,forecast,を予想［予測］する,fore(前もって) + cast(投げる・計算する) → 事前に見通す,
1009,exclude,を除外する,ex(外へ) + claudere(閉じる) → 外に締め出す,exclusion(除外) / exclusive(排他的な・専用の)
1010,overlook,を見落とす；を大目に見る；を見渡す,over(上から) + look(見る) → 見下ろす・上を通り過ぎて見落とす,
1011,burst,破裂する；(～を)突然始める(into),berstan(破裂する)が語源,
1012,heal,(人・傷など)を治す；治る,hal(全体の・健全な) → 完全で健康な状態に戻す,healing(治癒) / healer(治療者)
1013,forbid,を禁じる,for(引き離して) + bid(命じる) → 命じて遠ざける・禁止する,forbidden(禁じられた)
1014,install,をインストールする；を設置する；を就任させる,in(の中に) + stall(場所・棚) → 場所に据え付ける,installation(設置) / installer(設置業者)
1015,diminish,を減らす；減少する,dis(強調) + minuere(小さくする) → だんだん小さく減らす,diminution(減少)
1016,cite,を引き合いに出す；を引用する,ciere(呼び出す・動かす) → 証拠や例として呼び出す,citation(引用)
1017,quote,を引用する；を引き合いに出す,quot(いくつの) → 番号を付して言葉を引き出す,quotation(引用)
1018,dispute,に異議を唱える；(を)議論する,dis(離れて) + putare(考える) → 互いに異なる意見を交わす,disputation(討論)
1019,highlight,を目立たせる、強調する,high(強い) + light(光) → 強い光をあてて目立たせる,
1020,distract,(注意など)をそらす,dis(離れて) + trahere(引く) → 心や気を別の方向へ引く,distraction(気晴らし・気の散ること)
1021,cheat,をだます；不正をする,escheat(没収・権利の移転) → 不正に奪う・欺く,cheater(詐欺師)
1022,foster,をはぐくむ；を養育する；を心に抱く,fostor(育てること・食物)が語源,
1023,obey,に従う；に服従する,ob(〜に向かって) + audire(聞く) → 言うことをよく聞いて従う,obedience(服従) / obedient(従順な)
1024,bend,を曲げる；を屈服させる；曲がる,bendan(縛る・弓をたわめる)が語源,bent(曲がった)
1025,deprive,から(権利などを)奪う,de(完全に) + privare(奪う・取り除く) → 完全に取り上げる,deprivation(剥奪)
1026,govern,(を)統治する、支配する,kybernan(舵をとる) → 舵をとって導き治める,government(政府) / governor(知事)
1027,log,〔＋onで〕ログオンする；を記録する,log(丸太) → 航海日記を丸太の速度測定から記録したこと由来,logger(木こり)
1028,transmit,を伝える；(電波・信号など)を送る,trans(越えて) + mittere(送る) → 向こう側へ送る,transmission(送信・伝達) / transmitter(送信機)
1029,bully,をいじめる；を脅す,boel(親しい仲間・強情な人) → 威張り散らしていじめる人,bullying(いじめ)
1030,leap,跳ぶ；さっと動く；急上昇する,hleapan(跳ぶ)が語源,
1031,astonish,を驚かす,ex(外へ) + tonare(雷が鳴る) → 雷に打たれたように驚かせる,astonishment(驚き) / astonishing(驚くべき)
1032,thrill,をぞくぞくさせる；わくわくする,thyrlan(貫く) → 身に深く突き刺さるような興奮を与える,thrilling(ぞくぞくする)
1033,nod,うなずく；会釈する；うとうとする,hnottan(揺れる)が語源,
1034,bow,おじぎする；屈服する,bogan(曲げる)が語源,
1035,blend,を混ぜる；を調和させる；(～に)溶け込む(into),blandan(混ぜ合わせる)が語源,blender(ミキサー)
1036,complicate,を複雑にする,com(共に) + plicare(折る) → 幾重にも折り重なって複雑にする,complexity(複雑さ) / complicated(複雑な)
1037,pitch,を投げる；倒れる；縦揺れする,pich(突き刺す・投げる)が語源,pitcher(投手)
1038,persist,続く；固執する,per(最後まで) + sistere(立つ) → 諦めず最後まで立ち続ける,persistence(粘り強さ) / persistent(粘り強い)
1039,dedicate,をささげる；を献呈する,de(離れて) + dicare(宣言する) → 神聖なものとして捧げる,dedication(献身) / dedicated(熱心な)
1040,equip,に備えつける,skip(船) → 船を出航できるように準備整える,equipment(設備・装備)
1041,premise,前提；〔～s〕(建物を含めた)構内、敷地,pre(前に) + mittere(送る) → 前もって提示された条件,
1042,input,入力(情報)、投入；(情報・時間などの)提供,in(中に) + put(置く),
1043,merit,利点；功績；真価,merere(報いを受ける・値する) → 称賛に値する優れた点,meritorious(称賛に値する)
1044,sympathy,同情；(～に対する)共感(with/for),syn(共に) + pathos(感情) → 共に感じる感情,sympathize(同情する) / sympathetic(同情的な)
1045,compliment,賛辞；表敬,com(十分に) + plere(満たす) → 礼儀を尽くして褒める,complimentary(お世辞の・無料の)
1046,infrastructure,インフラ、基本的施設；(経済)基盤,infra(下に) + structure(構造) → 下部を支える基礎構造,
1047,ray,光線；ひらめき、一筋の光明,radius(光線・車輪のスポーク)が語源,
1048,distress,苦悩；苦痛；困窮,dis(離れて) + stringere(強く引き締める) → 締め付けられるような苦痛,distressing(痛ましい)
1049,joint,関節；接合(部),jungere(結合する) + t → つなぎ合わされた部分,jointly(共同で)
1050,expedition,遠征(隊)、探検(隊),ex(外へ) + pes(足) → 足を外へ踏み出して出かけること,expeditious(迅速な)
1051,adolescent,青年；青年期の,ad(〜へ) + alere(成長する) → 成長しつつある若者,adolescence(思春期・青春期)
1052,shade,(日)陰；色合い；日よけ；微妙な相違,scadu(影)が語源,shadow(影) / shady(陰になった)
1053,jury,陪審(員団)；審査員団,jurare(誓う) → 宣誓した法的な審判員集団,juror(陪審員)
1054,ethic,倫理、道徳；〔～s〕倫理［道徳］規範,ethos(慣習・品性)が語源,ethical(倫理的な)
1055,penalty,(刑)罰；罰金；ペナルティー,poena(罰) + alty → 犯した罪に対する報い,penalize(罰する)
1056,faculty,能力、機能；学部；教授陣,facere(行う・作る) → 行うための能力・大学の組織部門,
1057,scheme,計画；体系；陰謀,skhema(形・構想)が語源,schematic(図解の)
1058,nutrition,栄養(の摂取),nutrire(育てる・授乳する) → 身体を育てる栄養分,nutritious(栄養のある) / nutrient(栄養素)
1059,particle,(微)粒子；ほんのわずか,pars(部分) + cle(小さい) → きわめて小さな断片,
1060,molecule,分子；微粒子,moles(大きな塊) + cule(小さい) → 物質の最小単位となる微粒子,molecular(分子の)
1061,nationality,国籍；国民；国民性,natio(生まれ・民族) + ality,national(国家の) / nation(国家)
1062,poll,世論調査；投票(数),polle(頭部) → 頭数を数えることから投票・調査,pollster(世論調査員)
1063,clinic,診療所、クリニック；(病院内の)～科,kline(ベッド) → 床についている患者を診る場所,clinical(病床の・臨床の)
1064,dementia,認知症,de(離れて) + mens(心・精神) → 正常な精神状態から離れること,
1065,fatigue,疲労,fatigare(疲れさせる)が語源,
1066,dilemma,ジレンマ、板ばさみ,di(2つの) + lemma(前提・命題) → 2つの苦しい選択肢の挟み撃ち,
1067,queue,【英】(順番を待つ)列,cauda(尾) → 尾のように長く伸びた行列,
1068,curve,(道路などの)カーブ；曲線,curvus(曲がった)が語源,curvature(湾曲)
1069,narrative,物語、話；(小説の)叙述部分、地の文,gnarus(知っている) → 知っている筋道を語り伝えること,narrate(語る) / narrator(語り手)
1070,fingerprint,指紋,finger(指) + print(押し印),
1071,file,ファイル；(書類の)とじ込み,filum(糸) → 糸で綴じて整理した書類,
1072,wilderness,荒野；(庭・町などの)放置された部分,wild(野生の) + deor(獣) + ness → 野生動物の生息する手つかずの地,wild(野生の)
1073,pesticide,殺虫剤；除草剤,pest(害虫・疫病) + caedere(殺す) → 害虫を退治する薬,
1074,panic,パニック(状態)；狼狽,Pan(ギリシャ神話の牧神パン) → 恐怖を誘発する神に由来,panicky(パニックに陥った)
1075,fabric,織物、布(地)；構造,fabrica(職人の仕事・構造) → 織り上げられた布や構造体,fabricate(でっち上げる・製作する)
1076,fantasy,空想；幻想；幻想的作品,phainein(現れる・見せる) → 心に思い浮かぶ幻想,fantastic(すばらしい・空想的な)
1077,fancy,(気まぐれな)好み；空想；思いつき,fantasyの短縮形,fanciful(空想的な)
1078,virtue,美徳；長所；効能,vir(男・人間らしさ) → 人間として優れていること,virtuous(高潔な)
1079,grateful,感謝している,gratus(ありがたい・喜ばしい) + ful,gratitude(感謝の気持ち)
1080,valid,妥当な；有効な,valere(強い・効力がある) → 法的・論理的に効力がある,validity(妥当性・有効性) / validate(立証する)
1081,elaborate,入念な；凝った,e(外へ) + labor(労働) → 手間暇かけて精密に作り上げた,elaboration(精密化)
1082,moderate,適度な；穏健な,modus(控えめな尺度) + ate → 行き過ぎずちょうど良い,moderation(節度) / moderately(適度に)
1083,dynamic,活動的な、精力的な；動的な,dynamis(力) + ic → 力に満ち溢れて動的な,dynamism(力強さ)
1084,brave,勇敢な；見事な,braguer(威張る・誇る)が語源,bravery(勇敢さ) / bravely(勇敢に)
1085,brilliant,すばらしい；才能にあふれた；きらめく,beryllus(緑柱石・宝石) → 宝石のようにきらめく,brilliance(光輝・卓越)
1086,tremendous,途方もない、莫大な；すばらしい,tremere(震える) → 震え上がるほど大きい・すごい,tremendously(ものすごく)
1087,oral,口頭の,os(口) + al → 口に関する,orally(口頭で)
1088,innocent,無罪の；無邪気な；無知の,in(不) + nocere(害する) → 誰にも害を与えない・無垢な,innocence(無実・無邪気)
1089,subsequent,その後の,sub(後に) + sequi(従う) → 後から続いて起こる,subsequently(その後)
1090,shallow,浅い；浅薄な,sceald(浅い)が語源,shallowness(浅さ)
1091,indifferent,無関心な,in(不) + different(違っている) → 差がなくどちらでもどうでも良い,indifference(無関心)
1092,inferior,より劣った,inferus(下の) + ior → 位置・品質が下である,inferiority(劣等感)
1093,awkward,気まずい；ぎこちない；厄介な,awke(反対の・不器用な) + ward(方向) → 向きが悪くて不器用な,awkwardly(気まずそうに)
1094,obese,肥満した,ob(〜のために) + edere(食べる) → 食べ過ぎて太った,obesity(肥満)
1095,pregnant,妊娠した；(～で)満ちている(with),pre(前に) + gignere(生む) → 出産前の状態にある,pregnancy(妊娠)
1096,intimate,親密な；密接な,intimus(最も内側の) → 心の最も深いところまで知っている,intimacy(親密さ) / intimately(親しく)
1097,medieval,中世の；時代遅れの,medius(中央の) + aevum(時代) → 歴史の中間にあたる時代,
1098,sacred,神聖な；宗教的な；厳粛な,sacer(神聖な) + ed → 神に捧げられた,sacredness(神聖さ)
1099,simultaneously,(～と)同時に(with)；一斉に,simul(同時に) + taneous → まったく同じ時に,simultaneous(アプリの同時進行などの)
1100,versus,〔A ～ Bで〕A対B；AかBか,vertere(向ける) → 互いに向き合って対戦する,
1101,proceed,進む，進行する；(～を)続行する(with),pro(前方へ) + cedere(行く) → 前に向かって進む,procedure(手順) / proceeds(収益)
1102,orient,(人)を(環境などに)慣らす(to)；[受身形で](関心などが)(～に)向いている(to/toward),oriens(日の出る方・東) → 方向を定めて正しく向ける,orientation(方向付け・オリエンテーション)
1103,surf,(インターネット上の情報など)を見て回る；サーフィンをする,suff(寄せる波)が語源,surfer(サーファー)
1104,filter,をろ過する；を取り除く,filtrum(羊毛フェルト) → フェルトを通して液体を越す,filtration(ろ過)
1105,bind,を縛る；を束縛する；を結び付ける,bindan(縛る)が語源,binding(拘束力のある) / binder(バインダー)
1106,resort,(好ましくない手段に)訴える，頼る(to),re(再び) + sortir(出かける) → 困った時に何度も通う,
1107,reinforce,を強化する；を補強する,re(再び) + in(中に) + force(力) → 再び力を注ぎ込んで強固にする,reinforcement(補強・強化)
1108,accumulate,を蓄積する，集める；積もる,ad(〜へ) + cumulus(積み重なり) → 山のように積み上げる,accumulation(蓄積)
1109,bet,と確信する，断言する；(金などを)かける,abet(そそのかす)と同語源 → 賭ける・断言する,
1110,advocate,を主張する；を擁護する,ad(〜へ) + vocare(呼ぶ) → 声を上げて支援・主張する,advocacy(擁護・提唱)
1111,constitute,を構成する；になる，に等しい,con(共に) + statuere(立てる) → 一緒に立てて組織・構成する,constitution(憲法・構成) / constituent(構成要素)
1112,undertake,を引き受ける；を保証する；に着手する,under(下に) + take(取る) → 責任を引き受けて担う,undertaking(事業・引き受け)
1113,grip,を握る；をとらえる,gripan(掴む)が語源,
1114,dismiss,(意見など)を退ける；を解雇する,dis(離れて) + mittere(送る) → 追い払う・退ける,dismissal(解雇・退けること)
1115,fade,薄れる；衰える,vade(姿を消す)が語源 → 色や記憶が薄れて消える,
1116,conceal,を隠す；を秘密にする,com(完全に) + celare(隠す) → すっかり覆い隠す,concealment(隠蔽)
1117,chew,(を)かむ；をかみ砕く,ceowan(噛む)が語源,chewing(噛むこと)
1118,swallow,(を)飲み込む；をうのみにする；に耐える,swelgan(飲み込む)が語源,
1119,seal,を密閉する；に封をする,sigillum(小さな印) → 印を押してしっかり封印する,
1120,migrate,移住する；(鳥などが)渡る,migrare(移動する)が語源,migration(移住) / migrant(移住者)
